channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,baseline_mu,baseline_sigma,baseline_roi,baseline_run_id,baseline_qc_status,baseline_qc_pass,baseline_sign_flip_zone,baseline_local_neighbor_n,baseline_local_volatility_ratio,pct_metric_reliable,pct_metric_unstable_reason,pct_change_raw,baseline_roi_for_rank,pct_source_row,abs_pct_change_raw,abs_delta_roi,pct_change,abs_pct_change,prior_neg_prob,prior_guardrail_pass
meta,0.24548498,meta,0.036328,0.016722,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-76.10098404742868,1.0271761,fallback_baseline,76.10098404742868,0.78169112,-76.10098404742868,76.10098404742868,0.0,1.0
meta,0.22562258,meta,0.036328,0.016722,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-78.03467389866256,1.0271761,fallback_baseline,78.03467389866256,0.8015535199999999,-78.03467389866256,78.03467389866256,0.0,1.0
meta,0.36325806,meta,0.036328,0.016722,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-64.63526945379668,1.0271761,fallback_baseline,64.63526945379668,0.66391804,-64.63526945379668,64.63526945379668,0.0,1.0
meta,0.93986624,meta,0.036328,0.016722,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-8.499989437059524,1.0271761,fallback_baseline,8.499989437059524,0.08730985999999996,-8.499989437059524,8.499989437059524,0.0,1.0
meta,0.9884404,meta,0.036328,0.023411,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-3.771086574152176,1.0271761,fallback_baseline,3.771086574152176,0.03873569999999993,-3.771086574152176,3.771086574152176,0.0,1.0
meta,0.03741646,meta,0.036328,0.023411,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-96.35734709948956,1.0271761,fallback_baseline,96.35734709948956,0.9897596399999999,-96.35734709948956,96.35734709948956,0.0,1.0
meta,0.06696585,meta,0.036328,0.023411,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-93.48058721381855,1.0271761,fallback_baseline,93.48058721381855,0.9602102499999999,-93.48058721381855,93.48058721381855,0.0,1.0
meta,0.14328867,meta,0.036328,0.023411,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-86.05023325601131,1.0271761,fallback_baseline,86.05023325601131,0.8838874299999999,-86.05023325601131,86.05023325601131,0.0,1.0
meta,0.22650962,meta,0.036328,0.023411,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-77.94831674919229,1.0271761,fallback_baseline,77.94831674919229,0.80066648,-77.94831674919229,77.94831674919229,0.0,1.0
meta,0.22748402,meta,0.036328,0.023411,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-77.85345472894083,1.0271761,fallback_baseline,77.85345472894083,0.7996920799999999,-77.85345472894083,77.85345472894083,0.0,1.0
